# #JD, mag, error
1.007562908182226238e+03,9.997097745562999460e-01,1.741860137369368562e-04
1.007583340911442065e+03,9.995673708122778667e-01,1.742040251390736445e-04
1.007603773740658653e+03,9.997234881517462757e-01,1.742111079319056983e-04
1.007624206369633612e+03,1.000252462325482039e+00,1.742595777601581427e-04
1.007644639098383777e+03,9.999837400407749488e-01,1.742397644112908539e-04
1.007665071926901874e+03,1.000183384533794850e+00,1.742315221342955497e-04
1.007685504555411171e+03,9.997616679968805986e-01,1.742415904071308735e-04
1.007705937283462845e+03,1.000313766920537972e+00,1.742547921942119650e-04
1.007726370111515280e+03,1.000306358134005702e+00,1.742664083573998576e-04
1.007746802839326847e+03,1.000107952490512986e+00,1.742392385432292470e-04
1.007767235567145690e+03,1.000328181780571368e+00,1.742550677862606586e-04
1.007787668294498872e+03,9.998539623956055333e-01,1.742351223160840069e-04
1.007808101021844777e+03,9.999083176304427445e-01,1.742087108541896356e-04
1.007828533748965128e+03,9.996687697813371187e-01,1.742377646366381511e-04
1.007848966476085479e+03,1.000016547080339935e+00,1.742586448408392247e-04
1.007869399202732893e+03,9.993036757703507300e-01,1.742153695019860269e-04
1.007889832029388344e+03,9.996897387513702382e-01,1.742474650055075023e-04
1.007910264655809442e+03,9.997994124950718708e-01,1.742338069904216273e-04
1.007930697381991195e+03,1.000358090793045163e+00,1.742855171646845740e-04
1.007951130207948154e+03,1.000288061052779343e+00,1.742651212697404512e-04
1.007971562833903590e+03,1.000261217688141580e+00,1.742544453159050437e-04
1.007991995659620443e+03,1.000324721057395783e+00,1.742782072712368907e-04
1.008012428385110979e+03,1.000000000000000000e+00,1.742336826210420591e-04
1.008032861010600755e+03,1.000068313227114869e+00,1.742559277524962779e-04
1.008053293835619115e+03,1.000301155494182748e+00,1.742878274287252476e-04
1.008073726560643991e+03,1.000132684350665047e+00,1.742755884309505525e-04
1.008094159185435274e+03,9.998772260830685044e-01,1.742636081868950465e-04
1.008114592010220804e+03,1.000000000000000000e+00,1.742643481431455348e-04
1.008135024734547187e+03,9.999053257717104293e-01,1.742796988646356799e-04
1.008155457358865533e+03,9.998748328980705535e-01,1.742662240437307941e-04
1.008175890182959847e+03,1.000054745564935788e+00,1.742905041081543492e-04
1.008196322906820569e+03,9.998812723600515318e-01,1.742802626164714210e-04
1.008216755530680530e+03,9.998732998294598273e-01,1.742699023678741970e-04
1.008237188354301907e+03,9.996187261914325495e-01,1.742764649747681439e-04
1.008257621077696967e+03,9.998777173730035717e-01,1.743024502889492337e-04
1.008278053800851922e+03,9.997430236847305585e-01,1.742728545078345553e-04
1.008298486523781321e+03,nan,nan
1.008318919246710720e+03,9.995464058288582310e-01,1.742212991415626876e-04
1.008339351969400013e+03,9.998274404835590934e-01,1.742395134151377388e-04
1.008359784691863752e+03,1.000172589298366832e+00,1.742788744830378090e-04
