# #JD, mag, error
2.634734433597986936e+02,1.000304791176182651e+00,1.740446418806276319e-04
2.634938760950681171e+02,1.000274309297467079e+00,1.740480574701201862e-04
2.635143088301047101e+02,9.998767678289905980e-01,1.740595391868779071e-04
2.635347415651340270e+02,9.997688714965029533e-01,1.740300228169727162e-04
2.635551742997049587e+02,9.999603023082702657e-01,1.740357919330268969e-04
2.635756069342751289e+02,1.000045811795361450e+00,1.740675265577009778e-04
2.635960397686067154e+02,1.000329995437634345e+00,1.740429757317129135e-04
2.636164725027119857e+02,9.997630391940134365e-01,1.740343404552194306e-04
2.636369051365836640e+02,1.000142326994623909e+00,1.740839243965742404e-04
2.636573379704495892e+02,1.000366118085311617e+00,1.740608434048829039e-04
2.636777707040891983e+02,1.000155967056897799e+00,1.740596147152754624e-04
2.636982033372623846e+02,9.998182579288741323e-01,1.740238449196941433e-04
2.637186360706618871e+02,1.000037815896787086e+00,1.740646787537510184e-04
2.637390688036030042e+02,1.000245427051535962e+00,1.740750824246327822e-04
2.637595015363112907e+02,1.000129533203536703e+00,1.740643646671224867e-04
2.637799342690123012e+02,9.999822210181430471e-01,1.740583163135151683e-04
2.638003671014885185e+02,1.000255678691466921e+00,1.740889644245747917e-04
2.638207997337303823e+02,1.000188043305460850e+00,1.740993680171637687e-04
2.638412324659657315e+02,9.999553177309120633e-01,1.740693031510582960e-04
2.638616650977419340e+02,1.000131224732183854e+00,1.740659354702497061e-04
2.638820979295196594e+02,1.000078358154901537e+00,1.740712422285031053e-04
2.639025306610565167e+02,9.997690647186954216e-01,1.740838818372070500e-04
2.639229632923670579e+02,1.000209579968068141e+00,1.740573006370259659e-04
2.639433961236791220e+02,9.997979464283363038e-01,1.740773806425023747e-04
2.639638288545174873e+02,9.999629380320133043e-01,1.740723856876391846e-04
2.639842614853623672e+02,9.999704633047009628e-01,1.741103014139799279e-04
2.640046943159759394e+02,9.996393513064437686e-01,1.740595365968532226e-04
2.640251270463486435e+02,9.996729330819392745e-01,1.740626896492221442e-04
2.640455597767286235e+02,9.993987339926565516e-01,1.740584836207336762e-04
2.640659924068750115e+02,1.000163109395609151e+00,1.741097533949553453e-04
2.640864252365499851e+02,1.000065657645983430e+00,1.740988678975393983e-04
2.641068579664643039e+02,1.000107892653300468e+00,1.740855835279383286e-04
2.641272905959121999e+02,1.000321793328540432e+00,1.741010059086842599e-04
2.641681561543373391e+02,1.000228387664921392e+00,1.741006384707451625e-04
2.641885887833195738e+02,9.999588948876433347e-01,1.740864494965964110e-04
2.642090215120697394e+02,1.012282997693316533e+00,1.762013412757773480e-04
2.642294543405805598e+02,9.996868674621618434e-01,1.741010892797455352e-04
2.642498865690940875e+02,9.998305002003051722e-01,1.740875173396025963e-04
2.642703190973770688e+02,9.997689845157544664e-01,1.741133811883296446e-04
2.642907519254295039e+02,9.998988845412899451e-01,1.741041847155800834e-04
2.643111846532410709e+02,9.998316325239685609e-01,1.740885931486183067e-04
2.643316172810591524e+02,9.998761232037041147e-01,1.741148381926072074e-04
2.643520501084130956e+02,9.996137928439745579e-01,1.740885514645020514e-04
2.643724828357590013e+02,9.996616699096629866e-01,1.740847009501671813e-04
2.643929154628785909e+02,1.000096691431775264e+00,1.741111157499902003e-04
2.644133481899989420e+02,9.997548875756029352e-01,1.740763570106844480e-04
2.644337810166471172e+02,9.999480810834273647e-01,1.741066268612625947e-04
2.644746463697229046e+02,1.000054082047074244e+00,1.740970259347635160e-04
2.644950791959054186e+02,9.999761098862464115e-01,1.740819841873135986e-04
2.645155118218608550e+02,9.998490418247260036e-01,1.740912122757989054e-04
2.645359445478170528e+02,9.999279539447002429e-01,1.740611690753676515e-04
2.645563772735331440e+02,9.999892777612868766e-01,1.740862038188946230e-04
2.645768099990236806e+02,9.998882643207189780e-01,1.741100947598858630e-04
2.645972427242813865e+02,9.998746265484161899e-01,1.741045378820281009e-04
2.646176754495318164e+02,9.997780396366658939e-01,1.740956595027862098e-04
2.646381082743246225e+02,1.000214906538228199e+00,1.741016065753853170e-04
2.646585408991159056e+02,9.998199863832960554e-01,1.741168301627721955e-04
2.646789736236678436e+02,9.999115923912650361e-01,1.740790921727735892e-04
2.646994064482278191e+02,9.997123949319811631e-01,1.740795795781497669e-04
2.647198390725534409e+02,9.998833794125726593e-01,1.741075632691962375e-04
2.647402717964068870e+02,9.997356290500317710e-01,1.740841105514598277e-04
2.647607045202676090e+02,9.997438112886113393e-01,1.740999537195069479e-04
2.647811372441283311e+02,9.996338761865755096e-01,1.741054392446838932e-04
2.648015699675161159e+02,1.000296716119039697e+00,1.741092994146839468e-04
2.648220026909111766e+02,9.997756995423424664e-01,1.740547452054954400e-04
2.648424354140734067e+02,9.999551407058313579e-01,1.740788477396852359e-04
2.648628681369955302e+02,1.000233695946057155e+00,1.741186630142368714e-04
2.648833008599249297e+02,1.000190234276850276e+00,1.740954869398009600e-04
2.649037334823879064e+02,9.998058170260384347e-01,1.740851817093332467e-04
2.649241663048451301e+02,9.997003141106823865e-01,1.740642492390369128e-04
2.649445990270760376e+02,9.995552343463647293e-01,1.740666554117683792e-04
2.649650316493061837e+02,9.995191614265541702e-01,1.740733716462003174e-04
2.649854644710649154e+02,9.998439257011120240e-01,1.740755944522462059e-04
2.650058971928301617e+02,9.996120800126812034e-01,1.740655842117258653e-04
2.650263298143618158e+02,9.998098019053467400e-01,1.740926156446194711e-04
2.650467625356541248e+02,9.998831418649298808e-01,1.740878944338110487e-04
2.650671953569544712e+02,1.000000845911329872e+00,1.740393032388746488e-04
2.650876279777876334e+02,9.997562837530084012e-01,1.740389839162256782e-04
2.651080606986215571e+02,9.999974622724504547e-01,1.740419020196022908e-04
2.651284935194489663e+02,1.000179888756567381e+00,1.740579677420173307e-04
2.651489262398172286e+02,1.000033740750546629e+00,1.740392011974524348e-04
2.651693588601774536e+02,1.000087405029266518e+00,1.740499958456178146e-04
2.651897916803136468e+02,9.999662603878533007e-01,1.740485416341938467e-04
2.652102243002154864e+02,9.999597765077512523e-01,1.740498323679499427e-04
2.652306570198852569e+02,1.000000000000000000e+00,1.740503681965987278e-04
2.652510897395477514e+02,9.999528242043783655e-01,1.740470360434942889e-04
2.652715224587518605e+02,9.998201435975772045e-01,1.740165450491306753e-04
2.652919551781815244e+02,1.000396975022143753e+00,1.740171376502726611e-04
2.653123878971528029e+02,1.000165742040929118e+00,1.740150653218545539e-04
2.653328206158912508e+02,9.999154448843919907e-01,1.739934244708787468e-04
2.653532533346296987e+02,1.000254041147337736e+00,1.740271877982916670e-04
2.653736860531280399e+02,9.999188336775229891e-01,1.740028450281494020e-04
2.653941186714000651e+02,9.997943669508141395e-01,1.739879590801563436e-04
2.654145514896663371e+02,9.994387254982544100e-01,1.739656828454726764e-04
2.654349842077062931e+02,1.000552061659566672e+00,1.740318990754939870e-04
2.654554168255126569e+02,1.000166359951270012e+00,1.740125380163252576e-04
2.654758496430877130e+02,1.000064339493111909e+00,1.739991096061364081e-04
2.654962823604219011e+02,1.001811254744751967e+00,1.742783687662860493e-04
2.655167149777626037e+02,9.998315013567240506e-01,1.739989312797150160e-04
2.655371477948647225e+02,9.998439027982161109e-01,1.739953548109589646e-04
2.655575805117405253e+02,9.998197670891135758e-01,1.739988069394589885e-04
2.655780131283827359e+02,1.000289085690897029e+00,1.739963888766532019e-04
2.655984458450257080e+02,1.000068936195231073e+00,1.740001012786525391e-04
2.656188786614293349e+02,9.999399896658259790e-01,1.739777484040444034e-04
2.656393113776066457e+02,9.997492548313757776e-01,1.739862844447088595e-04
2.656597439937831950e+02,9.998281463100335831e-01,1.739953842046021914e-04
2.656801768094883300e+02,9.999698560810990067e-01,1.739974757307118309e-04
2.657006095251999795e+02,9.999936144130959770e-01,1.739955393117330253e-04
2.657210421406780370e+02,1.000000000000000000e+00,1.740124767625822943e-04
2.657414748559167492e+02,9.999204682065787608e-01,1.739986422441912024e-04
2.657619076711634989e+02,9.996741918643736735e-01,1.739759952112307137e-04
2.657823402861758950e+02,9.997774759880629913e-01,1.739811434504916112e-04
2.658027730009489460e+02,9.998499731538318391e-01,1.739632777204699811e-04
2.658232058154972037e+02,9.998849016716671034e-01,1.739706876995151077e-04
2.658436384300439386e+02,1.000155836513978436e+00,1.739866791002123950e-04
2.658640711443513283e+02,1.000012391435302739e+00,1.739665182127344775e-04
2.658845038584331633e+02,1.000142499740205526e+00,1.739739767704008729e-04
2.659049365722821676e+02,9.998292592884965302e-01,1.739546190171583956e-04
2.659253692861238960e+02,9.998895219086408881e-01,1.739667429918511298e-04
2.659458019997400697e+02,1.000088418748942276e+00,1.739750035849719600e-04
2.659662348131241743e+02,1.000110567046571086e+00,1.739753351078167267e-04
2.659866674262666493e+02,9.998972293309178472e-01,1.739383927549294369e-04
2.660071001394171617e+02,1.000000000000000000e+00,1.739492891218980919e-04
2.660275329520954983e+02,9.997036229791483875e-01,1.739294540593973619e-04
2.660479655650124187e+02,1.000045042868142220e+00,1.739427968184251616e-04
2.660683982774644392e+02,9.999831092097503094e-01,1.739250706400119733e-04
2.660888308899156982e+02,9.996973764934822260e-01,1.739286313029086636e-04
2.661092637018955429e+02,9.999822651694966202e-01,1.739403573478909748e-04
2.661296964141147328e+02,1.000036685671908954e+00,1.739174549739379142e-04
2.661501291258682613e+02,9.999956840572263861e-01,1.739197165550909513e-04
2.661705618373816833e+02,9.999886473228932759e-01,1.738993026131376290e-04
2.661909945489023812e+02,1.000078341935621840e+00,1.739243837685501386e-04
2.662114272601902485e+02,1.000374911936507516e+00,1.739347365322140081e-04
2.662318598714700784e+02,9.999782333573611348e-01,1.739133953057854336e-04
2.662522926825258764e+02,1.000547072640663560e+00,1.739535864891904034e-04
2.662727252931144903e+02,1.000229862367796319e+00,1.739260688345025795e-04
2.662931580039294204e+02,9.997935058189891810e-01,1.739208793696539869e-04
2.663135908142867265e+02,1.000025611584466789e+00,1.739349231230883242e-04
2.663340234246425098e+02,1.000401059811105053e+00,1.739632088449249840e-04
2.663544561347589479e+02,1.000371505804965810e+00,1.739322288780714579e-04
2.663748888446498313e+02,1.000594775841743944e+00,1.739552209391433070e-04
2.663953215543078841e+02,1.000315680492690484e+00,1.739041179583608056e-04
2.664157542639586609e+02,1.000475911986396405e+00,1.739337626246430994e-04
2.664361869733838830e+02,1.000500992276126766e+00,1.739239136257212553e-04
2.664566196825762745e+02,9.998424163132133557e-01,1.738620421515315836e-04
2.664770523915285594e+02,9.998196306564852698e-01,1.739042795039059757e-04
2.664974851004881202e+02,9.997043623437162907e-01,1.738141589939045761e-04
2.665179179092083359e+02,9.996298241153410702e-01,1.738824761920845297e-04
2.665383505177014740e+02,9.996098499385326352e-01,1.738460632349428240e-04
2.665587832261953736e+02,9.996605981668924557e-01,1.738142515712750419e-04
2.665792158344556810e+02,9.998631706373753980e-01,1.738673075092392578e-04
2.665996486424774048e+02,1.000397355601752691e+00,1.739303212382829463e-04
2.666200813502728124e+02,9.996157739201366743e-01,1.738998351222189741e-04
2.666405139580674586e+02,9.996432618025107297e-01,1.738313353082216958e-04
2.666609467656235211e+02,1.000075305145263993e+00,1.738809840885233529e-04
2.666813794729532674e+02,1.000031321701728704e+00,1.738458686465885780e-04
2.667018121800501831e+02,1.000188679439914630e+00,1.738848040734104652e-04
2.667222447871390614e+02,9.997967904138339579e-01,1.738318841348487714e-04
2.667426775940039079e+02,9.994947439018317947e-01,1.738240936195100880e-04
2.667631103006351623e+02,9.997045197137207628e-01,1.738243308364342788e-04
2.667835429070255486e+02,9.998659039005460825e-01,1.738379870596853797e-04
2.668039757134247338e+02,1.000119091748189026e+00,1.738395612803586576e-04
